Stock,Mean,Median,Standard deviation,Minimum value,Maximum value,25th percentile,75th percentile,Odds
AAPL,10.57,10.44,19.83,-64.05,92.44,-2.95,23.99,0.6996
AMZN,16.28,16.35,23.19,-69.41,110.34,0.36,31.92,0.7547
GOOGL,-9.33,-9.37,15.42,-69.95,54.69,-19.79,0.98,0.272
JNJ,8.57,8.67,14.36,-44.31,62.20,-1.22,18.21,0.7209
KO,-9.26,-9.25,5.89,-33.67,12.35,-13.21,-5.30,0.057
META,15.92,16.24,50.50,-163.73,213.43,-18.27,49.94,0.6246
MSFT,27.46,27.36,34.20,-115.77,154.05,4.10,50.99,0.7904
PG,20.36,20.25,14.26,-28.55,72.54,10.57,30.06,0.9213
V,-55.55,-55.22,28.39,-155.81,64.37,-74.70,-36.01,0.0261
WMT,-16.01,-15.96,15.00,-79.13,36.02,-26.36,-5.77,0.1426
