Stock,Mean,Median,Standard deviation,Minimum value,Maximum value,25th percentile,75th percentile,Odds
AAPL,10.72,10.74,20.39,-76.40,99.65,-3.05,24.59,0.6984
AMZN,15.22,15.18,23.41,-66.77,108.74,-0.50,30.68,0.7431
GOOGL,-8.61,-8.41,15.88,-60.03,51.25,-19.38,2.21,0.2958
JNJ,8.60,8.70,14.92,-46.37,67.85,-1.41,18.65,0.7187
KO,-9.22,-9.22,6.00,-32.96,14.71,-13.15,-5.20,0.0614
META,16.53,16.74,51.65,-181.07,193.60,-17.36,50.97,0.6315
MSFT,29.52,29.89,35.57,-97.17,154.40,5.53,53.63,0.796
PG,20.97,20.92,14.44,-33.55,69.80,11.09,30.68,0.9278
V,-55.56,-55.47,28.62,-174.99,46.25,-74.40,-35.95,0.026
WMT,-16.70,-16.66,15.39,-77.31,37.30,-27.10,-6.34,0.1416
