Date,Open,High,Low,Close,Volume,MACD,Signal Line,RSI,ATR,OBV,CMF,Buy
2019-07-12,1.215,1.2325,1.2025,1.2275,17568800,-0.02997017455507467,-0.01440860876149692,32.41379310344827,0.051428571428571414,-162791200,-0.269165875311827,False
2019-07-15,1.2175,1.2225,1.1875,1.1875,12273600,-0.03767765179000948,-0.019062417367199432,30.128205128205124,0.050892857142857136,-175064800,-0.2636551833816245,False
2019-07-16,1.19,1.2025,1.1575,1.1575,23880000,-0.04568006099926025,-0.024385946093611596,24.374999999999986,0.05035714285714284,-198944800,-0.30558601707054966,False
2019-07-17,1.1575,1.16,1.0825,1.095,30572400,-0.05641493931420882,-0.030791744737731042,20.21857923497268,0.05339285714285713,-229517200,-0.3296683866756897,False
2019-07-18,1.0975,1.105,1.03,1.05,34342800,-0.06777229481094382,-0.0381878547523736,15.463917525773198,0.055892857142857126,-263860000,-0.32991379372615764,True
2019-07-19,1.055,1.105,1.055,1.08,43786000,-0.07350501156979972,-0.045251286115858824,21.10552763819095,0.05732142857142856,-220074000,-0.28860423006586544,False
2019-07-22,1.0825,1.1,1.03,1.035,21954800,-0.08074853596411913,-0.052350736085510885,20.38834951456309,0.0582142857142857,-242028800,-0.33350006733124427,False
2019-07-23,1.0375,1.05,0.995,1.0225,30814000,-0.08650060167517726,-0.05918070920344416,19.138755980861248,0.05982142857142856,-272842800,-0.32479121057456156,False
2019-07-24,1.02,1.05,1.0125,1.02,24082400,-0.09022087422173075,-0.06538874220710147,19.704433497536968,0.05964285714285713,-296925200,-0.3486263832557006,False
2019-07-25,1.025,1.08,0.9925,0.995,23160000,-0.09410176155339811,-0.0711313460763608,9.895833333333357,0.059285714285714275,-320085200,-0.38799658206981913,True
2019-07-26,1.0,1.02,0.99,1.0025,12836000,-0.09547166745081959,-0.07599941035125256,11.702127659574472,0.0594642857142857,-307249200,-0.40295840277878486,True
2019-07-29,1.005,1.04,1.005,1.03,17308400,-0.09326322714309221,-0.07945217370962049,17.837837837837867,0.05732142857142857,-289940800,-0.3735156072282588,False
2019-07-30,1.025,1.0325,0.975,1.0075,21085600,-0.0922650106382561,-0.0820147410953476,18.23204419889504,0.05785714285714285,-311026400,-0.3418409924133005,False
2019-07-31,1.0075,1.045,1.0,1.005,20835600,-0.09063090926679473,-0.08373797472963704,22.297297297297305,0.05303571428571429,-331862000,-0.3678071367024621,False
2019-08-01,1.005,1.015,0.945,0.96,22386000,-0.09190754312941873,-0.08537188840959338,16.352201257861637,0.05589285714285714,-354248000,-0.37321618427493697,False
2019-08-02,0.9575,0.9725,0.9375,0.945,14378800,-0.09305695663284874,-0.08690890205424445,17.449664429530202,0.055535714285714285,-368626800,-0.445681943104331,False
2019-08-05,0.93,0.9375,0.895,0.9275,22727200,-0.09429302753573143,-0.08838572715054185,18.05555555555557,0.05589285714285714,-391354000,-0.40506779018677885,True
2019-08-06,0.9325,0.955,0.9075,0.9525,20629600,-0.09219259274413516,-0.08914710026926051,27.906976744186068,0.053750000000000006,-370724400,-0.3207298007885447,False
2019-08-07,0.935,0.9625,0.915,0.9525,23424400,-0.08949632511260974,-0.08921694523793036,32.432432432432435,0.05178571428571429,-394148800,-0.22922919881031656,True
2019-08-08,0.96,0.9775,0.9425,0.9725,9226800,-0.0847685219812141,-0.0883272605865871,29.90654205607477,0.05035714285714287,-384922000,-0.2120076789160956,False
2019-08-09,0.9575,0.965,0.8975,0.8975,12317600,-0.08608128565910966,-0.08787806560109163,26.890756302521027,0.050714285714285726,-397239600,-0.26889043148691255,False
2019-08-12,0.895,0.905,0.86,0.8775,10710400,-0.08772426249325427,-0.08784730497952416,26.229508196721312,0.05000000000000001,-407950000,-0.24738289982081638,False
2019-08-13,0.87,0.94,0.8675,0.8675,18018000,-0.08880950915825925,-0.08803974581527119,25.600000000000023,0.0525,-425968000,-0.23723132612940775,False
2019-08-14,0.8475,0.855,0.7975,0.83,24327600,-0.09163915245240006,-0.08875962714269697,24.615384615384627,0.051250000000000004,-450295600,-0.1849331262474197,False
2019-08-15,0.83,0.8525,0.7875,0.8025,23553600,-0.09500552081729774,-0.09000880587761714,21.014492753623216,0.053750000000000006,-473849200,-0.18170330830869613,True
2019-08-16,0.8125,0.84,0.8025,0.83,12522800,-0.09436657271780391,-0.0908803592456545,21.014492753623188,0.05375,-461326400,-0.18128045913925178,True
2019-08-19,0.8425,0.8675,0.835,0.845,11550000,-0.09159398862027668,-0.09102308512057895,25.925925925925924,0.052321428571428574,-449776400,-0.1480533291378783,True
2019-08-20,0.8375,0.865,0.82,0.855,17040000,-0.08758020918637044,-0.09033450993373726,28.26086956521739,0.05232142857142858,-432736400,-0.12754254900284714,True
2019-08-21,0.875,0.905,0.86,0.885,23643600,-0.08104428274457642,-0.0884764644959051,38.63636363636364,0.05089285714285716,-409092800,-0.08048314047224797,True
2019-08-22,0.9925,1.0625,0.93,0.9675,116709200,-0.06841876450391648,-0.08446492449750738,52.83018867924528,0.06107142857142859,-292383600,-0.12723231725540218,False
2019-08-23,0.96,0.975,0.89,0.9125,34643600,-0.06213474007600439,-0.07999888761320678,48.275862068965516,0.06357142857142858,-327027200,-0.15110648802122464,True
